     R         lat       lng     Depth    SMdepth
    0.00000  -28.5128   14.9492  179.8022    0.0000
    0.10047  -28.5132   14.9482  179.8820    0.0000
    0.20094  -28.5136   14.9473  179.9618    0.0000
    0.30140  -28.5140   14.9464  180.0416    0.0000
    0.40187  -28.5144   14.9455  180.1210    0.0000
    0.50234  -28.5148   14.9445  180.2008    0.0000
    0.60281  -28.5152   14.9436  180.2806    0.0000
    0.70327  -28.5156   14.9427  180.3604    0.0000
    0.80374  -28.5160   14.9417  180.4402    0.0000
    0.90421  -28.5163   14.9408  180.5581    0.0000
    1.00468  -28.5167   14.9399  180.7005    0.0000
    1.10514  -28.5171   14.9390  180.8670    0.0000
    1.20561  -28.5175   14.9380  181.0572    0.0000
    1.30608  -28.5179   14.9371  181.2710    0.0000
    1.40655  -28.5183   14.9362  181.5084    0.0000
    1.50701  -28.5187   14.9352  181.7695    0.0000
    1.60748  -28.5191   14.9343  181.9133    0.0000
    1.70795  -28.5195   14.9334  182.0483    0.0000
    1.80842  -28.5199   14.9325  182.1775    0.0000
    1.90889  -28.5203   14.9315  182.3008    0.0000
    2.00935  -28.5206   14.9306  182.4181    0.0000
    2.10982  -28.5210   14.9297  182.5294    0.0000
    2.21029  -28.5214   14.9287  182.6349    0.0000
    2.31076  -28.5218   14.9278  182.7343    0.0000
    2.41122  -28.5222   14.9269  182.8277    0.0000
    2.51169  -28.5226   14.9260  182.9153    0.0000
    2.61216  -28.5230   14.9250  182.9969    0.0000
    2.71263  -28.5234   14.9241  182.7461    0.0000
    2.81309  -28.5238   14.9232  182.5023    0.0000
    2.91356  -28.5242   14.9223  182.2789    0.0000
    3.01403  -28.5246   14.9213  182.0766    0.0000
    3.11450  -28.5249   14.9204  181.8953    0.0000
    3.21496  -28.5253   14.9195  181.7345    0.0000
    3.31543  -28.5257   14.9185  181.5948    0.0000
    3.41590  -28.5261   14.9176  181.4759    0.0000
    3.51637  -28.5265   14.9167  181.3779    0.0000
    3.61684  -28.5269   14.9158  181.3000    0.0000
    3.71730  -28.5273   14.9148  181.2436    0.0000
    3.81777  -28.5277   14.9139  181.2080    0.0000
    3.91824  -28.5281   14.9130  181.1931    0.0000
    4.01871  -28.5285   14.9120  181.1992    0.0000
    4.11917  -28.5289   14.9111  181.2261    0.0000
    4.21964  -28.5292   14.9102  181.2730    0.0000
    4.32011  -28.5296   14.9093  181.3415    0.0000
    4.42058  -28.5300   14.9083  181.4309    0.0000
    4.52104  -28.5304   14.9074  181.8204    0.0000
    4.62151  -28.5308   14.9065  182.1928    0.0000
    4.72198  -28.5312   14.9055  182.5381    0.0000
    4.82245  -28.5316   14.9046  182.8564    0.0000
    4.92291  -28.5320   14.9037  183.1473    0.0000
    5.02338  -28.5324   14.9028  183.4118    0.0000
    5.12385  -28.5328   14.9018  183.6494    0.0000
    5.22432  -28.5331   14.9009  183.8601    0.0000
    5.32479  -28.5335   14.9000  184.0355    0.0000
    5.42525  -28.5339   14.8990  184.2005    0.0000
    5.52572  -28.5343   14.8981  184.3653    0.0000
    5.62619  -28.5347   14.8972  184.5304    0.0000
    5.72666  -28.5351   14.8963  184.6954    0.0000
    5.82712  -28.5355   14.8953  184.8604    0.0000
    5.92759  -28.5359   14.8944  185.0255    0.0000
    6.02806  -28.5363   14.8935  185.1905    0.0000
    6.12853  -28.5367   14.8925  185.3552    0.0000
    6.22899  -28.5371   14.8916  185.5167    0.0000
    6.32946  -28.5374   14.8907  185.6413    0.0000
    6.42993  -28.5378   14.8898  185.7688    0.0000
    6.53040  -28.5382   14.8888  185.8993    0.0000
    6.63087  -28.5386   14.8879  186.0328    0.0000
    6.73133  -28.5390   14.8870  186.1691    0.0000
    6.83180  -28.5394   14.8861  186.3082    0.0000
    6.93227  -28.5398   14.8851  186.4505    0.0000
    7.03274  -28.5402   14.8842  186.5958    0.0000
    7.13320  -28.5406   14.8833  186.7440    0.0000
    7.23367  -28.5410   14.8823  186.8952    0.0000
    7.33414  -28.5414   14.8814  187.0493    0.0000
    7.43461  -28.5417   14.8805  187.2061    0.0000
    7.53507  -28.5421   14.8796  187.3661    0.0000
    7.63554  -28.5425   14.8786  187.5292    0.0000
    7.73601  -28.5429   14.8777  187.6951    0.0000
    7.83648  -28.5433   14.8768  187.8640    0.0000
    7.93694  -28.5437   14.8758  188.0359    0.0000
    8.03741  -28.5441   14.8749  188.2072    0.0000
    8.13788  -28.5445   14.8740  188.3394    0.0000
    8.23835  -28.5449   14.8731  188.4601    0.0000
    8.33881  -28.5453   14.8721  188.5689    0.0000
    8.43928  -28.5457   14.8712  188.6660    0.0000
    8.53975  -28.5460   14.8703  188.7512    0.0000
    8.64022  -28.5464   14.8693  188.8246    0.0000
    8.74069  -28.5468   14.8684  188.8859    0.0000
    8.84115  -28.5472   14.8675  188.9357    0.0000
    8.94162  -28.5476   14.8666  188.9736    0.0000
    9.04209  -28.5480   14.8656  188.9997    0.0000
    9.14256  -28.5484   14.8647  189.0326    0.0000
    9.24302  -28.5488   14.8638  189.0715    0.0000
    9.34349  -28.5492   14.8628  189.1164    0.0000
    9.44396  -28.5496   14.8619  189.1670    0.0000
    9.54443  -28.5499   14.8610  189.2238    0.0000
    9.64489  -28.5503   14.8601  189.2866    0.0000
    9.74536  -28.5507   14.8591  189.3553    0.0000
    9.84583  -28.5511   14.8582  189.4433    0.0000
    9.94630  -28.5515   14.8573  189.6511    0.0000
   10.04677  -28.5519   14.8563  189.8556    0.0000
   10.14723  -28.5523   14.8554  190.0572    0.0000
   10.24770  -28.5527   14.8545  190.2561    0.0000
   10.34817  -28.5531   14.8536  190.4518    0.0000
   10.44864  -28.5535   14.8526  190.6445    0.0000
   10.54910  -28.5539   14.8517  190.8342    0.0000
   10.64957  -28.5542   14.8508  191.0208    0.0000
   10.75004  -28.5546   14.8499  191.2045    0.0000
   10.85051  -28.5550   14.8489  191.3853    0.0000
   10.95097  -28.5554   14.8480  191.5631    0.0000
   11.05144  -28.5558   14.8471  191.7379    0.0000
   11.15191  -28.5562   14.8461  191.9096    0.0000
   11.25238  -28.5566   14.8452  192.0785    0.0000
   11.35284  -28.5570   14.8443  192.2441    0.0000
   11.45331  -28.5574   14.8434  192.4069    0.0000
   11.55378  -28.5578   14.8424  192.5666    0.0000
   11.65425  -28.5582   14.8415  192.7271    0.0000
   11.75471  -28.5585   14.8406  192.8952    0.0000
   11.85518  -28.5589   14.8396  193.0574    0.0000
   11.95565  -28.5593   14.8387  193.2137    0.0000
   12.05612  -28.5597   14.8378  193.3640    0.0000
   12.15659  -28.5601   14.8369  193.5083    0.0000
   12.25705  -28.5605   14.8359  193.6468    0.0000
   12.35752  -28.5609   14.8350  193.7792    0.0000
   12.45799  -28.5613   14.8341  193.9057    0.0000
   12.55846  -28.5617   14.8331  194.0262    0.0000
   12.65892  -28.5621   14.8322  194.1409    0.0000
   12.75939  -28.5625   14.8313  194.2496    0.0000
